Group,Sample ID,Height,87/86Sr,rsInternal Precision,Stable Sr,ssInternal Precision,44/40Ca,Internal Precision,d13c,d18o,ppm in rock,Na,Mg,Al ,K,Ca,Ti,Mn,Rb,Sr,Ba,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap,Maloof6,140.6,,,,,,,-5.286,-5.371,,,,,,,,,,,,,,,,
CuCap,Maloof7,146.1,,,,,,,-5.602,-6.309,,,,,,,,,,,,,,,,
CuCap,Maloof8,150.4,,,,,,,-5.345,-6.433,,,,,,,,,,,,,,,,
CuCap,Maloof9,158.2,,,,,,,-3.370,-4.667,,,,,,,,,,,,,,,,
CuCap,Maloof10,164.6,,,,,,,-5.277,-7.426,,,,,,,,,,,,,,,,
CuCap,Maloof11,183.3,,,,,,,-4.688,-6.637,,,,,,,,,,,,,,,,
CuCap,Maloof12,192.3,,,,,,,-1.138,-5.490,,,,,,,,,,,,,,,,
CuCap,Maloof13,196.2,,,,,,,-0.856,-5.124,,,,,,,,,,,,,,,,
CuCap,Maloof14,271.7,,,,,,,4.604,-3.669,,,,,,,,,,,,,,,,
CuCap,Maloof15,288.4,,,,,,,5.058,-6.179,,,,,,,,,,,,,,,,
CuCap,Maloof16,305.3,,,,,,,6.516,-6.038,,,,,,,,,,,,,,,,
CuCap,Maloof17,314.7,,,,,,,7.690,-5.720,,,,,,,,,,,,,,,,
CuCap,Maloof18,347.3,,,,,,,3.025,-19.124,,,,,,,,,,,,,,,,
CuCap,Maloof19,350.5,,,,,,,5.137,-16.358,,,,,,,,,,,,,,,,
CuCap,Maloof20,354.3,,,,,,,2.707,-14.101,,,,,,,,,,,,,,,,
CuCap,Maloof21,355.5,,,,,,,3.702,-14.607,,,,,,,,,,,,,,,,
CuCap,Maloof22,356,,,,,,,4.295,-12.816,,,,,,,,,,,,,,,,
CuCap,Maloof23,356.2,,,,,,,4.545,-12.503,,,,,,,,,,,,,,,,
JWang OAE,Jwang1,203.40,0.7074425,,0.37,,-0.74,,2.72,-1.61,,,3015,,,394425,,32,,204,,,,,,
JWang OAE,Jwang2,261.33,0.7073997,,0.32,,-0.80,,1.34,-3.24,,,3256,,,394666,,38,,207,,,,,,
JWang OAE,Jwang3,309.25,0.7074239,,0.32,,-0.77,,2.77,-1.12,,,3012,,,382514,,31,,181,,,,,,
JWang OAE,Jwang4,367.34,0.7073327,,0.31,,-0.76,,2.7,-2.36,,,3136,,,387992,,38,,204,,,,,,
JWang OAE,Jwang5,405.83,0.7073277,,0.32,,-0.77,,2.68,-1.8,,,2865,,,386984,,54,,182,,,,,,
JWang OAE,Jwang6,483.15,0.7072740,,0.29,,-1.00,,1.28,-3.41,,,4211,,,394683,,39,,234,,,,,,
JWang OAE,Jwang7,521.4,0.7072966,,0.27,,-0.87,,2.6,-1.82,,,3361,,,343013,,41,,255,,,,,,
JWang OAE,Jwang8,550.52,0.7073317,,0.29,,,,2.9,-2.68,,,3874,,,367521,,43,,264,,,,,,
JWang OAE,Jwang9,571.15,0.7073214,,0.26,,-1.04,,2.04,-2.21,,,4402,,,373322,,46,,316,,,,,,
JWang OAE,Jwang10,589.87,0.7073278,,,,-0.88,,2.76,-1.96,,,4263,,,395135,,31,,258,,,,,,
JWang OAE,Jwang11,618.34,0.7073552,,0.30,,-0.94,,4,-1.7,,,4572,,,378463,,42,,289,,,,,,
JWang OAE,Jwang12,648.40,0.7073548,,0.27,,-1.00,,4.2,-1.38,,,4842,,,378825,,91,,330,,,,,,
JWang OAE,Jwang13,666.82,0.7073559,,0.27,,-1.16,,5.12,-1.6,,,3961,,,396037,,43,,378,,,,,,
JWang OAE,Jwang14,686.30,0.7073581,,0.26,,-1.09,,3.7,-2.67,,,3859,,,395126,,37,,385,,,,,,
