Group,Sample ID,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,ssWheel Number,ssDate,ssSample mass for analysis,ssSpike mass for analysis,,Stable Sr,ssInternal Precision,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Ca ppm,Sr ppm ,Mg ppm,Mn ppb,Rb ppb,d13c,d18o,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap_mili,MM12-B,148.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116148.12,306.10,39644.30,683.75,1.72,,,,,,,
CuCap_mili,MM13-A,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185045.79,259.48,20698.67,727.52,1.17,,,,,,,
CuCap_mili,MM13-B,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213293.89,294.15,11863.44,736.36,0.65,,,,,,,
CuCap_mili,MM16-A,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355956.36,184.78,1488.98,102.20,0.02,,,,,,,
CuCap_mili,MM16-B,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365326.58,170.92,1422.89,130.23,0.02,,,,,,,
CuCap_mili,MM18-A,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142337.25,114.62,17574.53,560.17,1.29,,,,,,,
CuCap_mili,MM18-B,82.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173833.63,157.35,7743.63,600.15,0.95,,,,,,,
CuCap_mili,MM21-A,326.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285788.58,4700.02,19759.03,67.19,0.04,,,,,,,
CuCap_mili,MM21-B,326.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18447.23,639.01,6635.18,11.04,0.01,,,,,,,
CuCap_mili,MM23-A,348.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338684.62,967.97,3325.23,130.45,0.27,,,,,,,
CuCap_mili,MM23-B,348.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318274.98,945.80,3083.02,101.30,0.24,,,,,,,
CuCap_mili,MM25-A,356.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331939.68,320.08,2478.22,3688.87,0.23,,,,,,,
CuCap_mili,MM25-B,356.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208100.38,289.56,8232.80,2229.38,0.74,,,,,,,
CuCap_mili,MM27-A,299.6,,,,,,,,,,,,,,,,,,,0.07678,0.59781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329988.13,1429.03,11386.03,39.30,0.04,,,,,,,
CuCap_mili,MM27-B,299.6,,,,,,,,,,,,,,,,,,,0.07708,0.61425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334714.96,1249.02,11324.38,38.66,0.05,,,,,,,
CuCap_mili,MM28-A,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109956.18,304.11,28461.91,632.65,1.18,,,,,,,
CuCap_mili,MM28-B,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11513.05,34.11,2870.97,64.67,0.13,,,,,,,
CuCap_mili,MM32-A,286.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347186.01,691.33,3063.50,72.30,0.02,,,,,,,
CuCap_mili,MM32-B,286.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316145.05,1239.64,13157.69,127.71,0.10,,,,,,,
CuCap_maloof,Maloof1,68.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.06,-7.71,,,,,
CuCap_maloof,Maloof2,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.98,-8.35,,,,,
CuCap_maloof,Maloof3,70.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.40,-7.60,,,,,
CuCap_maloof,Maloof4,135.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.64,-7.57,,,,,
CuCap_maloof,Maloof5,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.04,-3.66,,,,,
CuCap_maloof,Maloof6,140.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.29,-5.37,,,,,
CuCap_maloof,Maloof7,146.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.60,-6.31,,,,,
CuCap_maloof,Maloof8,150.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.35,-6.43,,,,,
CuCap_maloof,Maloof9,158.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.37,-4.67,,,,,
CuCap_maloof,Maloof10,164.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.28,-7.43,,,,,
CuCap_maloof,Maloof11,183.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.69,-6.64,,,,,
CuCap_maloof,Maloof12,192.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,-5.49,,,,,
CuCap_maloof,Maloof13,196.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.86,-5.12,,,,,
CuCap_maloof,Maloof14,271.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60,-3.67,,,,,
CuCap_maloof,Maloof15,288.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,-6.18,,,,,
CuCap_maloof,Maloof16,305.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52,-6.04,,,,,
CuCap_maloof,Maloof17,314.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,-5.72,,,,,
CuCap_maloof,Maloof18,347.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,-19.12,,,,,
CuCap_maloof,Maloof19,350.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,-16.36,,,,,
CuCap_maloof,Maloof20,354.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,-14.10,,,,,
CuCap_maloof,Maloof21,355.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70,-14.61,,,,,
CuCap_maloof,Maloof22,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,-12.82,,,,,
CuCap_maloof,Maloof23,356.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,-12.50,,,,,
JWang OAE,Jwang1,203.4,,,,,,0.70744,,,,,,,,,,,,,,,,0.370,,,,,,,,,,,,,,,-0.740,,,,,,,,,,,,,394425.00,204.00,3015.00,32.00,,2.72,-1.61,,,,,
JWang OAE,Jwang2,261.33,,,,,,0.70740,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.800,,,,,,,,,,,,,394666.00,207.00,3256.00,38.00,,1.34,-3.24,,,,,
JWang OAE,Jwang3,309.25,,,,,,0.70742,,,,,,,,,,,,,,,,0.320,,,,,,,,,,,,,,,-0.770,,,,,,,,,,,,,382514.00,181.00,3012.00,31.00,,2.77,-1.12,,,,,
JWang OAE,Jwang4,367.34,,,,,,0.70733,,,,,,,,,,,,,,,,0.310,,,,,,,,,,,,,,,-0.760,,,,,,,,,,,,,387992.00,204.00,3136.00,38.00,,2.70,-2.36,,,,,
